clientName,month,amount
Cittabase Solutions Incorporated,2025-08-01,1899.94
DAVINCI TECHNOLOGY SOLUTIONS,2025-07-21,6403.9
Bokuria Creative,2025-07-05,6746.96
Phil Kim,2025-06-29,6794.31
Think Water Filtration Inc.,2025-06-23,6522.41
Intrigue Media Solutions Inc.,2025-07-09,9000.76
Gotcha!,2025-08-14,5477.85
JMB Ventures Inc.,2025-08-22,2954.57
Align Climate Solutions,2025-08-17,4792.7
Banch Marketing Ltd,2025-07-19,5136.95
Burnaby Grills,2025-06-28,8891.05
Kykeon Analytics Ltd,2025-06-25,2153.52
1Up Digital Marketing,2025-06-03,6798.29
Crowder Family Incorporated,2025-06-06,4399.74
Peter Zarkadas MD FRCSC Inc.,2025-08-25,9811.6
The Canada Magazine,2025-06-24,1067.42
TNB Plumbing Heating Air Conditioning Ltd.,2025-06-30,2191.82
Misim Modelling Inc,2025-07-01,5993.64
Hanson Land and Sea,2025-08-07,1237.36
Pixelbot Technology Inc.,2025-06-28,9101.97
B4 Networks Inc.,2025-08-25,6161.74
Blaze Capital,2025-06-07,7608.18
Strength Connected Fitness Ltd.,2025-08-24,5073.34
Hyland Landscapes Ltd,2025-08-24,1822.77
Form Collective,2025-06-13,2951.76
Olive Technologies Inc,2025-06-02,4403.01
Vandal Merch House Inc.,2025-08-25,4699.4
Tommy Media Inc.,2025-06-20,6123.96
1497202 Alberta Ltd (E-Patches & Crests),2025-07-25,6688.96
West Coast Centre for Sex Therapy Ltd.,2025-06-20,7415.2
MYDWARE IT Solutions Inc.,2025-06-20,7080.99
Morweb CMS Inc.,2025-06-18,3069.89
9thCO Inc.,2025-07-03,7442.19
Lyftlyfe Athletics Inc.,2025-08-19,6757.12
1224746 B.C. Ltd.,2025-08-26,2502.55
Gibraltar Holdings Ltd.,2025-06-11,2143.95
Merging Workforce Inc.,2025-06-15,9993.03
12372169 Canada Inc. DBA Protrack Ltd.,2025-08-20,4983.49
BODYPULSE FITNESS STUDIO LTD,2025-08-11,2185.41
Dealer Media,2025-06-15,2103.99
BuildPilot Ltd.,2025-07-26,7350.93
